	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	y1	y1	y1	y1	y1	y1
						
bonus	0.047	0.080	-0.112*	-0.046	0.127	-0.069
	(0.077)	(0.078)	(0.061)	(0.093)	(0.085)	(0.047)
bonus_order	0.020	0.020	-0.059	-0.118	0.124	-0.011
	(0.149)	(0.130)	(0.069)	(0.116)	(0.115)	(0.039)
						
Observations	96	96	96	96	96	96
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
