	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	y1	y1	y1	y1	y1	y1
						
bonus_2	0.001	0.096	-0.080**			
	(0.067)	(0.064)	(0.039)			
bonus_3	0.001	0.111*	-0.103**			
	(0.067)	(0.065)	(0.049)			
bonus_order	-0.042	0.071	-0.033	-0.042	0.071	-0.033
	(0.094)	(0.086)	(0.040)	(0.094)	(0.086)	(0.040)
bonus				0.001	0.104*	-0.091**
				(0.060)	(0.057)	(0.038)
						
Observations	192	192	192	192	192	192
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
